code;asdad
422204;7,00
460871;7,00
559079;0,00
581594;12,00
598474;0,00
608560;4,00
654456;1,00
694443;0,00
744788;1,00
774062;1,00
05012A;66,00
05013F;25,00
05013R;43,00
18119A;12,00
18237D;25,00
19807B;0,00
19825;1,00
20065;69,00
30232B-TWN;2,00
30426;1,00
30727E;18,00
36803A-1;4,00
39220;16,00
4120D006R;8,00
4126B189R;1,00
2010700;0,00
2010702;0,00
2010703;0,00
2010704;1,00
2010708;0,00
2010709;1,00
PT-AWS-12C;1,00
PT-BBT-5;0,00
PT-CB-2;0,00
PT-CCP-22C;0,00
PT-CCP-44C;2,00
PT-CM-5;1,00
PT-CTP;3,00
PT-CWP-7C;2,00
PT-DCW-1C;0,00
PT-DCW-2C;0,00
PT-DCW-3;0,00
PT-DCW-4C;0,00
PT-FR-1C;0,00
PT-FR-5C;0,00
PT-FR-5GC;0,00
PT-GP-2;21,00
PT-GP-2C;17,00
PT-HCW-16;0,00
PT-MTB-7C;1,00
PT-PW-5;0,00
PT-PZT-1;0,00
PT-RW-3C;1,00
PT-SCW-14;0,00
PT-SCW-16;0,00
PT-SCW-19;2,00
PT-SW-0;2,00
PT-SW-1;1,00
PT-SW-13C;2,00
PT-SW-14C;2,00
PT-SW-15C;1,00
PT-SW-2;0,00
PT-SW-7C;0,00
PT-TL-5C;1,00
PT-WTK-1C;2,00
PRLIZ0272BKL;0,00
PRLIZ0272BKM;0,00
PRLIZ0272BKXL;2,00
PRLIZ0283STR BKL;1,00
PRLIZ0283STR BKXL;2,00
PRLIZ0711BIG IPL;1,00
PRLIZ0711BIG IPM;0,00
PRLIZ0711BIG IPXL;1,00
PRLIZ0711JAG GNL;2,00
PRLIZ0711JAG GNM;1,00
PRLIZ0711JAG GNXL;1,00
PRLIZ0711KOIL;1,00
PRLIZ0711KOIM;1,00
PRLIZ0711KOIXL;0,00
PRLIZ0711STM WHL;1,00
PRLIZ0711STM WHM;0,00
PRLIZ0711STM WHXL;2,00
PI18F3U54445;1,00
PI08DOCA464540;1,00
PR100138;1,00
PR100161;0,00
PR100172;0,00
PR100192;0,00
PR100329;9,00
PR100331;0,00
PR100343;0,00
PR100348;0,00
PR100398;1,00
PR100482;0,00
PR100484;1,00
PR100676;1,00
PR100688;1,00
PR100712;1,00
PR200108XL;1,00
PR200111M;1,00
PR200143M;1,00
PR20381L;-1,00
PR20412L;1,00
PR20413L;3,00
PR20413M;0,00
PR20413XL;0,00
PR300023;4,00
PR300024;0,00
PR300025;0,00
PR300241;0,00
PR300251;0,00
PR300291;0,00
PR302638;0,00
PR302651;0,00
PR302705;2,00
PR302731;8,00
PR302741;6,00
PR308100;0,00
PR310094;1,00
PR310208;0,00
PR310210;1,00
PR316001;2,00
PR316002;0,00
PR316003;0,00
PR316013;0,00
PR316022;0,00
PR316023;1,00
PR320047;6,00
PR320107;1,00
PR320151;0,00
PR320262;0,00
PR320263;2,00
PR320269;0,00
PR320270;0,00
PR320273;1,00
PR320341;0,00
PR320353;0,00
PR320354;0,00
PR320406;0,00
PR320407;2,00
PR320408;2,00
PR320446-1;2,00
PR320451;0,00
PR320491;5,00
PR320492;16,00
PR320561;2,00
PR320571;3,00
PR320572;5,00
PR320711;0,00
PR320726;-6,00
PR320741;2,00
PR320777;1,00
PR343080;0,00
PR343100;2,00
PR343120;1,00
PR344100;0,00
PR344120;1,00
PR346120;0,00
PR349100;1,00
PR368276;1,00
PR369102;0,00
PR369103;0,00
PR369112;0,00
PR369113;0,00
PR369163;1,00
PR370024;0,00
PR370025;0,00
PR370041;1,00
PR370042;1,00
PR370047;1,00
PR372082;1,00
PR372083;0,00
PR382080;0,00
PR500056;0,00
PR500062;1,00
PR500071;1,00
PR500098;0,00
PR500121;1,00
PR500122;0,00
PR900112;0,00
PR900113;1,00
PR900118;3,00
PR900131;2,00
PR900132;4,00
PRAC0004;9,00
PRBA0005;29,00
PRTL0005;2,00
RTC29209551;0,00
RTC30229551;0,00
RTC30229951;0,00
RTC31239771;1,00
RTC31240870;1,00
RTC31240871;1,00
RTC31240882;0,00
RTC32239559;0,00
RTC32239561;1,00
RTC32240919;1,00
RTC32240920;1,00
RTC32240921;1,00
RTC33240961;2,00
RTC33247511;0,00
RTC41239684A;0,00
RTC41239816A;0,00
RTC41247972;2,00
RTC48256120;2,00
RTC49226603;1,00
RTC49226604;0,00
RTC49226605;3,00
02S154P2-TWN;0,00
02S181C6254-TWN;2,00
02S777T8-TWN;1,00
02SCAPAML10-TWN;1,00
02SVITARL10-TWN;0,00
211957S;0,00
211961L;0,00
211964M;0,00
212042M;0,00
212043M;0,00
215570L;0,00
215574L;0,00
215574M;0,00
215582001;0,00
215585001;0,00
215595L;0,00
215599L;0,00
215601L;0,00
215601M;0,00
215601XS;0,00
215603L;0,00
215603M;0,00
215603XS;0,00
215629L;0,00
215632M;0,00
215632S;0,00
215632XS;0,00
215656M;0,00
215658M;0,00
215661L;0,00
215665L;0,00
215671L;0,00
215672S;0,00
215673M;0,00
215674S;0,00
217931M;0,00
217978M;0,00
217978S;0,00
217979M;0,00
217979S;0,00
217979XS;0,00
217985M;0,00
217990L;0,00
217990M;0,00
217990S;0,00
218016S;0,00
218016XS;0,00
218017M;0,00
218017S;0,00
218076M;0,00
218099M;0,00
1518603230902;0,00
20027042;2,00
20027044;2,00
20027045;1,00
20027644;0,00
20636442SVR;1,00
20636443SVR;1,00
20636444SVR;1,00
20636742;1,00
20636743;1,00
20636744;1,00
20916641;1,00
20978044;1,00
20978142;0,00
20978144;1,00
20978442BK;1,00
20978442SVR;0,00
20978443BK;0,00
20978443SVR;1,00
20978444BK;0,00
20978444SVR;2,00
20978942;1,00
20978943;1,00
21157643;1,00
21251744;0,00
21252543;1,00
21252544;1,00
21252744;1,00
21253042;0,00
21253145BK;0,00
21253843;0,00
21253844;1,00
21279642;0,00
21586144;0,00
21586842;0,00
21586843;1,00
21586942ANTHR/BK;0,00
21586943ANTHR/BK;0,00
21586944ANTHR/BK;1,00
21586946WH/BK;0,00
2158842476158;2,00
2158852476251;2,00
2158852478165;1,00
215992BK;0,00
215994;0,00
2186392320001;0,00
6053005090050;1,00
6053005210040;1,00
6053005211040;1,00
6053005412060;1,00
6053005510050;0,00
6053005700040;1,00
6056015081050;0,00
6216004351000;0,00
032R0190EA001;0,00
041R0190KA001;0,00
043H6570KA001;0,00
046E058TEC001;1,00
050H522JTA001;0,00
052A716JEC001;1,00
052C001AEC0001;0,00
072A150JHC001;1,00
072H629JHC001;0,00
103N201JEC002;0,00
108H501EEC001;0,00
121M201JEC001;0,00
CAMSLKLDYGFSMPL;1,00
FZKAA00003;1,00
SR5235DECA49167;2,00
SR5235HECA49167;1,00
